,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
938,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,Tableau","LineChart,BarChart,Scatterplot,Treemap",Private sector,International Studies (not at all technical!),Woman,USA,20.0,3.0,3.0,0.0,4.0,0.0,"Dashboard,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
940,Equal Parts School and Self-Taught,Engineer,< $20k,"PowerBI,Looker","LineChart,BarChart,PieChart,Treemap",Private sector,Systems Engineering,Woman,Argentina,20.0,5.0,0.0,5.0,10.0,0.0,Dashboard,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
941,Mostly Self-Taught,Other,$100k - $120k,"ArcGIS,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics",Public sector,Economics,Woman,USA,5.0,5.0,0.0,1.0,10.0,0.0,"Embeddedinatool,Dashboard,Presentations,Email",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no
946,Mostly Self-Taught,Designer,$60k - $80k,Tableau,"LineChart,BarChart,PieChart,Scatterplot,Infographics",Public sector,Management Information Systems,Woman,USA,5.0,3.0,2.0,15.0,5.0,10.0,"Embeddedinatool,Dashboard,StaticWebPage,Presentations",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
948,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Leaflet,Plotly,PowerBI,Python,R,Tableau","LineChart,BarChart,PieChart",Not-for-profit,Classics,Woman,Australia,3.0,3.0,2.0,2.0,5.0,1.0,"Documents,Presentations",yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
949,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,Illustrator","LineChart,BarChart,PieChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Not-for-profit,Modern languages lol,Woman,United Kingdom,1.0,0.0,1.0,0.0,1.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
953,Mostly From School (or other formal courses),Engineer,$60k - $80k,"D3,Angular,ggplot2,Illustrator,PowerBI,R,Tableau,Pen&Paper","LineChart,BarChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Systems Engineering,Woman,USA,10.0,1.0,4.0,10.0,1.0,1.0,"Embeddedinatool,Documents,Presentations",no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,no
955,Equal Parts School and Self-Taught,Other,$20k - $40k,"ArcGIS,Excel,Illustrator,Tableau,WebComponents,Pen&Paper","LineChart,BarChart,PieChart,Infographics,PictorialVisualization,Treemap,ChoroplethMap",Private sector,economics,Woman,USA,10.0,0.0,0.0,10.0,0.0,2.0,"Scrollytelling,Documents,Presentations,Newspaperorotherphysicalhandout",yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes
957,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,ggplot2,Illustrator,R,Pen&Paper,Keynote","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Biology,Woman,USA,8.0,8.0,8.0,8.0,8.0,1.0,"Documents,Presentations,Newspaperorotherphysicalhandout",no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no
959,Mostly From School (or other formal courses),Other,$60k - $80k,"Excel,Highcharts,Illustrator,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics",Private sector,Journalism,Woman,USA,7.0,0.0,7.0,3.0,5.0,0.0,"Dashboard,StaticWebPage",yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
960,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,PowerBI,R","LineChart,BarChart,Scatterplot",Government ,Education ,Woman,USA,15.0,0.0,0.0,10.0,10.0,0.0,"Documents,Presentations,Email",yes,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no
962,Equal Parts School and Self-Taught,Other,$40k - $60k,"Excel,Illustrator,Tableau,Flourish","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,ChoroplethMap",Journalism,Journalism,Woman,USA,1.0,1.0,1.0,1.0,1.0,1.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,Documents,Presentations,Newspaperorotherphysicalhandout",yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes
965,Mostly Self-Taught,Analyst,$40k - $60k,"ArcGIS,Excel,Tableau,BusinessObjects","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Public sector,Operations and Supply Chain Management and Entrepreneurship,Woman,USA,10.0,5.0,0.0,10.0,5.0,0.0,"Embeddedinatool,Dashboard,Presentations",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
970,Mostly Self-Taught,Developer,$80k - $100k,"Excel,Mapbox,PowerBI,Python,Tableau","LineChart,BarChart,PieChart,Scatterplot",Academic,Art,Woman,USA,20.0,0.0,5.0,5.0,5.0,5.0,"Dashboard,Presentations",yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
971,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Python,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,ChoroplethMap",Private sector,Software development,Woman,Ireland,20.0,10.0,15.0,10.0,15.0,10.0,"Dashboard,Presentations",yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no
972,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau,Pen&Paper,Powerpoint","LineChart,BarChart,PieChart,Scatterplot,Dendrogram,ChoroplethMap,RasterMap,SwarmChart",Private sector,Classical Music Performance,Woman,USA,10.0,2.0,10.0,3.0,12.0,3.0,"Dashboard,Presentations,Email",yes,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no
973,Mostly From School (or other formal courses),Analyst,$60k - $80k,"ggplot2,PowerBI,R,Tableau","LineChart,BarChart,Scatterplot,Infographics,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Statistics,Woman,USA,5.0,5.0,20.0,5.0,10.0,0.0,"Dashboard,Scrollytelling,Presentations,Email",no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
975,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Pen&Paper","LineChart,BarChart,Infographics,PictorialVisualization",Public sector,psychology,Woman,USA,6.0,4.0,0.0,2.0,6.0,1.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
976,Mostly Self-Taught,Analyst,< $20k,"ArcGIS,Excel,ggplot2,Highcharts,Leaflet,Plotly,PowerBI,Python,R,Tableau,Matplotlib","BarChart,Scatterplot,ChoroplethMap",Private sector,Mathematics ,Woman,India,14.0,0.0,14.0,0.0,14.0,0.0,"Dashboard,InteractiveNotebook,Documents,Presentations",yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no
978,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Highcharts,QGIS,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Not-for-profit,Agroecology,Woman,USA,12.0,10.0,8.0,0.0,10.0,5.0,"Dashboard,StaticWebPage,Documents,Presentations,Email",yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no
979,Equal Parts School and Self-Taught,Analyst,$80k - $100k,"ggplot2,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Political Science,Woman,USA,5.0,10.0,15.0,0.0,10.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,Documents,Presentations,Email",no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no
981,Mostly Self-Taught,Other,$60k - $80k,"Excel,Keynote,Canva,Piktochart","LineChart,BarChart,PieChart,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Biblical Studies (Bachelor of Arts),Woman,USA,4.0,0.0,0.0,1.0,4.0,2.0,"Scrollytelling,Presentations",yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes
984,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"ArcGIS,Excel,ggplot2,Illustrator,Mapbox,R,Tableau","LineChart,BarChart,Scatterplot,NetworkDiagram",Private sector,International Studies and Geography,Woman,USA,15.0,5.0,0.0,5.0,15.0,0.0,"Dashboard,Documents,Presentations",yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no
985,Mostly Self-Taught,Academic,$20k - $40k,"Excel,ggplot2,Highcharts,Python,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Infographics,Treemap,ChoroplethMap",Academic,Journalism,Woman,Turkey,5.0,0.0,0.0,5.0,7.0,2.0,"Embeddedinatool,Scrollytelling",yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes
986,Equal Parts School and Self-Taught,Developer,$20k - $40k,"D3,Excel,ggplot2,Illustrator,Mapbox,QGIS,R,Vega,WebComponents,WebGL,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Private sector,History,Woman,United Kingdom,10.0,10.0,5.0,5.0,5.0,2.0,"Embeddedinatool,InteractiveNotebook",yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no
987,Equal Parts School and Self-Taught,Analyst,$100k - $120k,"D3,ggplot2,Illustrator,Leaflet,QGIS,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Not-for-profit,Psychology,Woman,USA,15.0,0.0,10.0,5.0,15.0,1.0,"Scrollytelling,StaticWebPage",no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes
990,Equal Parts School and Self-Taught,Designer,< $20k,"Excel,Illustrator,Mapbox,Tableau,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Communication,Woman,Kenya,10.0,10.0,0.0,10.0,10.0,0.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,Presentations,Newspaperorotherphysicalhandout",yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes
992,Mostly Self-Taught,Scientist,$40k - $60k,"D3,ggplot2,Plotly,R,Tableau","LineChart,BarChart,Scatterplot,Force-DirectedGraph,Bubblechart",Private sector,Food Science and Technology,Woman,Japan,10.0,2.0,2.0,2.0,20.0,0.0,"Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
996,Mostly Self-Taught,Scientist,$60k - $80k,"D3,ggplot2,R",RasterMap,Public sector,Biological Systems Engineering,Woman,USA,10.0,5.0,10.0,5.0,10.0,0.0,"StaticWebPage,GIF/Videoonsocialmedia",no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
997,Mostly Self-Taught,Developer,$60k - $80k,"D3,ggplot2,R,Tableau,Vue,Pen&Paper","LineChart,BarChart,Scatterplot,SwarmChart",Academic,Statistics,Woman,USA,10.0,0.0,20.0,5.0,15.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook",no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no
998,Mostly Self-Taught,Designer,$160k - $180k,"D3,Illustrator","LineChart,BarChart,PieChart,Scatterplot",Private sector,Art History,Woman,USA,8.0,0.0,2.0,12.0,2.0,0.0,"Dashboard,Presentations",no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
1002,Mostly Self-Taught,Analyst,$20k - $40k,"ggplot2,PowerBI,Python,R,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Molecular Life Science,Woman,Netherlands,1.0,3.0,10.0,0.0,20.0,0.0,"Dashboard,Presentations",no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no
1003,Mostly Self-Taught,Scientist,$100k - $120k,Python,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Private sector,Physics,Woman,Japan,4.0,1.0,15.0,0.0,20.0,0.0,"StaticWebPage,Documents,Presentations",no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
1005,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Histogram,XMR",Private sector,Management information systems ,Woman,USA,10.0,10.0,3.0,2.0,5.0,0.0,"Dashboard,Documents,Presentations,Email",yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
1008,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,PowerBI,Python,Tableau","LineChart,BarChart,Scatterplot",Private sector,Business,Woman,USA,20.0,2.0,0.0,10.0,10.0,0.0,"Dashboard,Scrollytelling,Documents,Presentations,Email",yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes
1010,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Excel,ggplot2,Gephi,Illustrator,QGIS,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Arts,Woman,Australia,8.0,0.0,4.0,15.0,4.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations",yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no
1011,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Not-for-profit,Political science and statistics,Woman,Australia,10.0,15.0,2.0,3.0,5.0,0.0,"Embeddedinatool,Scrollytelling,StaticWebPage,Documents,Presentations",no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
1012,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,bubblechart",Not-for-profit,Geoscience,Woman,Germany,20.0,0.0,5.0,5.0,10.0,0.0,"Embeddedinatool,Presentations,portfolio/companyreports",yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no
1013,Mostly Self-Taught,Analyst,$40k - $60k,Tableau,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap",Public sector,Healthcare Administration,Woman,USA,10.0,0.0,0.0,5.0,20.0,0.0,"Embeddedinatool,Dashboard,Presentations,Email",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no
1014,Mostly Self-Taught,Developer,$100k - $120k,"D3,Excel,Illustrator,Leaflet,Mapbox","LineChart,Infographics,RasterMap,geoJSONandSVGmap",Public sector,photojournalism and design,Woman,USA,20.0,8.0,2.0,8.0,10.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage",yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no
1021,Mostly Self-Taught,Engineer,$100k - $120k,"D3,Mapbox,Python,React,Canvas","FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,French literature,Woman,USA,10.0,2.0,2.0,1.0,2.0,4.0,"Scrollytelling,StaticWebPage",no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes
1027,Mostly Self-Taught,Designer,< $20k,"Excel,Illustrator,Tableau,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Researches about visualizations of time,Woman,Italy,20.0,0.0,0.0,20.0,0.0,10.0,"Embeddedinatool,Dashboard,Scrollytelling,Presentations,Newspaperorotherphysicalhandout",yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes
1032,Mostly Self-Taught,Developer,$60k - $80k,"D3,Mapbox,Vue","LineChart,BarChart,PieChart,Scatterplot,Treemap,Force-DirectedGraph",Private sector,Computer Science ,Woman,France,20.0,5.0,5.0,5.0,5.0,10.0,"Embeddedinatool,Dashboard",no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no
1035,Mostly Self-Taught,Other,$60k - $80k,"Excel,ggplot2,Highcharts,Illustrator,R,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Academic,Psychology,Woman,USA,10.0,3.0,0.0,20.0,3.0,3.0,"StaticWebPage,Documents,Presentations",yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no
1036,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,Plotly,Python,R,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart),Directedacyclicgraphs(e.g.netowrkx)",Private sector,Mathematics,Woman,USA,3.0,4.0,20.0,2.0,2.0,0.0,"Dashboard,Documents,Presentations,Email,Newspaperorotherphysicalhandout",yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
1038,Mostly Self-Taught,Analyst,$60k - $80k,"Excel,Tableau,SPSS","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,Treemap",Not-for-profit,Spanish,Woman,USA,10.0,2.0,0.0,1.0,20.0,0.0,"Dashboard,Documents,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
1040,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,Pen&Paper","BarChart,PieChart,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart),Stackedbarcharts,and100%stackedbarcharts",Academic,English Literature and Film Studies (even split),Woman,United Kingdom,5.0,16.0,4.0,2.0,8.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
1047,Mostly Self-Taught,Leadership,$60k - $80k,"Excel,Tableau","LineChart,BarChart,Scatterplot,Infographics",Not-for-profit,Psychology,Woman,USA,5.0,0.0,5.0,5.0,5.0,0.0,"Documents,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no
1048,Mostly Self-Taught,Scientist,$80k - $100k,"Excel,Pen&Paper","LineChart,BarChart",Not-for-profit,psychology,Woman,USA,2.0,0.0,0.0,4.0,1.0,2.0,"Scrollytelling,Documents,Presentations,Email",yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes
1049,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,R,Tableau,Pen&Paper,SPSS","LineChart,BarChart,PieChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Psychology,Woman,USA,4.0,4.0,1.0,1.0,5.0,0.0,"Dashboard,InteractiveNotebook,Documents,Presentations,Email",yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no
1052,Mostly Self-Taught,Academic,$60k - $80k,"Excel,ggplot2,Illustrator,QGIS,R","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Academic,Biology,Woman,USA,5.0,0.0,5.0,5.0,1.0,1.0,"Dashboard,StaticWebPage,Presentations,Newspaperorotherphysicalhandout",yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
1053,Mostly Self-Taught,Academic,$80k - $100k,"Excel,PowerBI,Qlik,Tableau","LineChart,BarChart,Scatterplot,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Psychology,Woman,USA,5.0,0.0,5.0,0.0,0.0,0.0,Presentations,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no
1055,Equal Parts School and Self-Taught,Developer,$80k - $100k,"ArcGIS,D3,Excel,Illustrator,Python,R,React,Tableau,WebGL,Pen&Paper,Canvas","LineChart,BarChart,Dendrogram",Private sector,Computer Science,Woman,USA,3.0,7.0,7.0,5.0,7.0,2.0,"Embeddedinatool,StaticWebPage",yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no
1060,Mostly Self-Taught,Analyst,$80k - $100k,"Excel,Tableau","LineChart,BarChart,PieChart",Private sector,Mathematics and Secondary Teaching,Woman,Australia,5.0,10.0,5.0,2.0,5.0,0.0,"Dashboard,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
1061,Equal Parts School and Self-Taught,Student,$20k - $40k,"ArcGIS,Excel,ggplot2,Illustrator,Leaflet,Mapbox,Python,QGIS,R,Tableau,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,PieChart,Hexbin/Heatmap,Infographics,Treemap,ChoroplethMap,RasterMap",Academic,"Geography, Art History, Anthropology",Woman,Canada,2.0,1.0,5.0,3.0,10.0,2.0,"Dashboard,StaticWebPage,Documents,Presentations,Email,Newspaperorotherphysicalhandout,preparationforpublishedversioninstatic,andinteractiveonline",yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no
1063,Equal Parts School and Self-Taught,Student,$20k - $40k,"D3,Excel,ggplot2,Illustrator,Python,QGIS,R,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,computer engineering,Woman,USA,4.0,3.0,10.0,0.0,3.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no
1064,Mostly Self-Taught,Student,$20k - $40k,"Excel,ggplot2,Illustrator,Python,R,Pen&Paper,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Academic,Neurobiology,Woman,USA,10.0,10.0,10.0,4.0,10.0,0.0,"InteractiveNotebook,Documents,Presentations",yes,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
1065,Mostly Self-Taught,Scientist,$20k - $40k,"Excel,ggplot2,Illustrator,R,Pen&Paper","LineChart,Scatterplot,boxplot,densityplot,forestplot",Academic,Biology,Woman,USA,5.0,0.0,5.0,2.0,5.0,1.0,"StaticWebPage,Documents,Presentations",yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
